618	frame	0.902588
653	frame	0.824951
693	frame	0.742188
722	frame	0.568115
746	frame	0.758545
752	frame	0.78125
1199	frame	0.802979
1320	frame	0.827637
1517	frame	0.749268
1672	frame	0.915039
1932	frame	0.810547
3053	frame	0.535156
3431	frame	0.516357
3596	frame	0.799316
3819	frame	0.818848
3862	frame	0.817383
4023	frame	0.841797
4042	frame	0.760742
4081	frame	0.804199
4183	frame	0.80835
4278	frame	0.80127
4378	frame	0.419922
4553	frame	0.810791
4665	frame	0.843506
5113	frame	0.865723
5197	frame	0.878174
5307	frame	0.810791
5375	frame	0.826416
5595	frame	0.778076
5732	frame	0.772705
5928	frame	0.799805
6189	frame	0.805908
6303	frame	0.777832
6463	frame	0.881104
6649	frame	0.804932
6722	frame	0.89624
6770	frame	0.76709
6890	frame	0.799072
7018	frame	0.821777
7337	frame	0.91748
7382	frame	0.718994
7401	frame	0.733887
7436	frame	0.819092
7562	frame	0.798828
7626	frame	0.7771
7634	frame	0.804932
7679	frame	0.784424
7832	frame	0.816162
7849	frame	0.680664
7909	frame	0.797852
8009	frame	0.737305
8056	frame	0.812744
8289	frame	0.80127
8331	frame	0.794434
8366	frame	0.80957
8460	frame	0.769775
8604	frame	0.913818
8874	frame	0.808838
8944	frame	0.775391
9066	frame	0.789063
9091	frame	0.800049
9117	frame	0.812744
9244	frame	0.698975
9254	frame	0.81958
9294	frame	0.768311
9513	frame	0.63916
9523	frame	0.736572
9586	frame	0.76001
9721	frame	0.737793
9796	frame	0.772705
9832	frame	0.763184
9963	frame	0.785889
9988	frame	0.797852
10098	frame	0.808838
10237	frame	0.877441
10654	frame	0.687256
10958	frame	0.796387
11047	frame	0.67334
11055	frame	0.811523
11075	frame	0.80835
11204	frame	0.726318
11254	frame	0.649902
11332	frame	0.45874
11396	frame	0.705566
11447	frame	0.784912
11549	frame	0.785889
11627	frame	0.466309
11686	frame	0.740967
11722	frame	0.769775
11726	frame	0.735107
11884	frame	0.4646
11913	frame	0.626953
12040	frame	0.615234
12194	frame	0.752197
12259	frame	0.701416
12287	frame	0.590332
12381	frame	0.692383
12449	frame	0.819336
12479	frame	0.665283
12496	frame	0.812988
12516	frame	0.759766
12525	frame	0.733887
12580	frame	0.780273
12754	frame	0.768555
12792	frame	0.808838
13062	frame	0.910156
